Index,Time(ns)
2009000,2514
2010000,3073
2011000,2515
2012000,3073
2013000,2515
2014000,3352
2015000,2794
2016000,2794
2017000,3073
2018000,2794
2019000,3073
2020000,2794
2021000,3073
2022000,2514
2023000,3352
2024000,3073
2025000,2793
2026000,2793
2027000,2514
2028000,2793
2029000,2514
2030000,3073
2031000,2793
2032000,3912
2033000,3073
2034000,2793
2035000,3632
2036000,2793
2037000,2515
2038000,2514
2039000,3073
2040000,2514
2041000,2514
2042000,3631
2043000,2514
2044000,2514
2045000,2794
2046000,3352
2047000,3073
2048000,2514
2049000,2793
2050000,2514
2051000,2794
2052000,2794
2053000,2794
2054000,3632
2055000,2794
2056000,3073
2057000,2794
2058000,3073
2059000,3352
2060000,3073
2061000,2793
2062000,2793
2063000,3073
2064000,2794
2065000,2235
2066000,3073
2067000,2514
2068000,2794
2069000,3073
2070000,2794
2071000,3353
2072000,2515
2073000,2514
2074000,2794
2075000,2793
2076000,3073
2077000,3073
2078000,2793
2079000,3073
2080000,2514
2081000,3352
2082000,2794
2083000,6425
2084000,3073
2085000,2794
2086000,3073
2087000,2514
2088000,2794
2089000,3073
2090000,3073
2091000,2794
2092000,3073
2093000,2514
2094000,3073
2095000,3073
2096000,2515
2097000,3073
2098000,2794
2099000,3631
2100000,2794
2101000,2514
2102000,2794
2103000,2794
2104000,2794
2105000,2794
2106000,2794
2107000,2794
2108000,2514
2109000,3352
2110000,2794
2111000,2793
2112000,3073
2113000,3352
2114000,2514
2115000,2514
2116000,3073
2117000,3073
2118000,2515
2119000,2793
2120000,3352
2121000,2515
2122000,2794
2123000,3073
2124000,3352
2125000,2794
2126000,3073
2127000,2514
2128000,2794
2129000,3073
2130000,3632
2131000,2794
2132000,3073
2133000,3074
2134000,3073
